sample,gyro_x,gyro_y,gyro_z
1064000,-268.7892652029575,-325.72578189047937,270.28935798965404
1064001,-269.42476897010874,-326.4726848134716,270.4140938688161
1064002,-269.6276147616766,-327.0228935334478,270.3134921643667
1064003,-269.6873457481999,-327.0931538737175,270.85081630987594
1064004,-269.28461619989895,-327.30859571282133,270.5562916838685
1064005,-268.96620605583865,-327.50827374396357,271.6621523725832
1064006,-268.3866867324739,-326.8799647101153,271.1929938753517
1064007,-267.83129696603805,-326.75130037325636,271.4891009158924
1064008,-267.95657704111414,-327.1121213509964,272.16413140121284
1064009,-268.03560358574947,-326.7152871474085,272.0681378965286
1064010,-268.69005101450426,-327.11467447995636,272.2689367247834
1064011,-269.12125787050246,-326.7074192657724,272.70806015871193
1064012,-269.4164520558297,-327.17723969492096,272.50011223547193
1064013,-270.3474623546146,-327.58452467045373,272.70174705390053
1064014,-270.45220693932043,-327.5770375080765,272.74728771799175
1064015,-270.35473729473085,-327.5271833513592,272.69425021572346
1064016,-271.529152992325,-326.7528702116992,271.86334911688186
1064017,-271.31602825927365,-326.83561379390744,270.92534285941815
1064018,-271.2302752709912,-326.6041450319544,271.1061063033078
1064019,-271.5592987885017,-326.8163865391546,270.45883705195183
1064020,-271.5715807945841,-327.1083562181975,271.56549240925483
1064021,-271.278941370829,-326.4699250098136,270.906546076308
1064022,-271.0985664157106,-326.05620811651744,270.8983545358663
1064023,-270.35900950305944,-325.91889740273814,270.77496795525286
1064024,-270.6774681189369,-325.8654519965474,270.9428949792098
1064025,-270.5753728867931,-326.20366867172936,271.30393003158235
1064026,-270.961257615237,-326.45407684997133,271.24562031871096
1064027,-270.70410400160296,-326.4080601266896,271.7261303079168
1064028,-270.99989501205766,-326.60024307779236,272.3023088313725
1064029,-270.3598069685866,-326.8363891965127,272.29464957432344
1064030,-270.2393361410729,-325.7349155530407,271.93621215844036
1064031,-269.4480569530127,-326.63858203031197,272.34960517853267
1064032,-269.2837455352627,-326.6810928820486,272.13743186555183
1064033,-269.1556648058009,-325.47951163574515,272.5680357414842
1064034,-269.65577442597606,-325.96258833494085,273.0914175759871
1064035,-269.56491891873304,-326.4296070738967,272.8732313429831
1064036,-269.79092816307525,-326.2411565320445,272.8857550357841
1064037,-269.25015763982645,-326.94451678920547,271.8973776458823
1064038,-269.12851721299296,-327.6415698583472,271.53509295453057
1064039,-268.99908201391025,-326.5053099226623,271.9242098718418
1064040,-268.85976910690067,-326.4818685530806,271.9805709838933
1064041,-268.76567138942573,-326.37863868006036,271.6921886965083
1064042,-268.988249583749,-325.206107644672,271.4786184295006
1064043,-269.26761725609936,-325.1362810702522,271.5778454631395
1064044,-269.5372613768275,-325.15502206754235,272.14704676791
1064045,-269.1542251984997,-325.30073540686834,272.5769157529997
1064046,-269.24137029770793,-324.8100995806452,272.6550773535157
