ts,distance_cm,pir,event,dur_s
0,55.3,0,none,
200,55.0,0,none,
400,56.4,0,none,
600,55.3,0,none,
800,55.1,0,none,
1000,54.0,0,none,
1200,52.5,0,none,
1400,52.8,0,none,
1600,54.9,0,none,
1800,56.4,0,none,
2000,53.9,0,none,
2200,54.0,0,none,
2400,56.3,0,none,
2600,56.0,0,none,
2800,54.8,0,none,
3000,55.4,0,none,
3200,49.5,0,none,
3400,45.9,0,none,
3600,42.1,1,none,
3800,41.5,1,none,
4000,33.4,1,none,
4200,31.7,1,none,
4400,27.0,1,none,
4600,21.0,1,none,
4800,17.8,1,start,
5000,21.1,1,running,
5200,20.1,1,running,
5400,14.2,1,running,
5600,9.2,1,running,
5800,12.5,1,running,
6000,16.4,1,running,
6200,24.1,0,running,
6400,18.2,1,running,
6600,11.5,1,running,
6800,8.6,1,running,
7000,14.8,1,running,
7200,22.9,1,running,
7400,20.3,1,running,
7600,12.3,1,running,
7800,7.7,1,running,
8000,16.2,1,running,
8200,22.6,1,running,
8400,20.6,1,running,
8600,10.2,1,running,
8800,7.5,1,running,
9000,16.5,1,running,
9200,23.4,1,running,
9400,19.2,1,running,
9600,10.2,1,running,
9800,9.5,1,running,
10000,20.5,1,running,
10200,22.8,1,running,
10400,15.5,1,running,
10600,9.0,1,running,
10800,10.7,1,running,
11000,18.4,1,running,
11200,23.7,1,running,
11400,18.3,1,running,
11600,9.7,1,running,
11800,8.8,1,running,
12000,15.7,1,running,
12200,22.4,1,running,
12400,22.4,1,running,
12600,16.1,1,running,
12800,10.5,1,running,
13000,9.2,1,running,
13200,15.8,1,running,
13400,20.5,1,running,
13600,22.0,1,running,
13800,20.0,1,running,
14000,15.8,1,running,
14200,12.9,1,running,
14400,9.8,0,running,
14600,10.4,1,running,
14800,15.5,1,running,
15000,16.8,1,running,
15200,17.6,1,running,
15400,21.4,1,running,
15600,21.5,1,running,
15800,21.1,1,running,
16000,17.8,1,running,
16200,16.7,1,running,
16400,15.4,1,running,
16600,15.4,1,running,
16800,14.1,1,running,
17000,12.8,1,running,
17200,11.5,1,running,
17400,10.4,1,running,
17600,12.4,1,running,
17800,10.4,1,running,
18000,10.4,1,running,
18200,11.3,1,running,
18400,11.6,1,running,
18600,10.6,1,running,
18800,11.0,0,running,
19000,11.0,1,running,
19200,12.0,1,running,
19400,26.1,1,running,
19600,10.7,1,running,
19800,11.8,0,running,
20000,10.5,1,running,
20200,10.2,1,running,
20400,11.8,1,running,
20600,11.9,1,running,
20800,12.7,0,running,
21000,13.1,1,running,
21200,12.3,1,running,
21400,14.7,1,running,
21600,16.0,1,running,
21800,18.4,1,running,
22000,20.1,1,running,
22200,22.0,1,running,
22400,21.7,1,running,
22600,22.4,1,running,
22800,21.5,1,running,
23000,18.6,1,running,
23200,15.2,1,running,
23400,10.5,1,running,
23600,9.1,1,running,
23800,10.0,1,running,
24000,15.6,1,running,
24200,20.5,1,running,
24400,22.3,1,running,
24600,19.7,1,running,
24800,11.3,1,running,
25000,8.0,1,running,
25200,16.0,1,running,
25400,24.2,1,running,
25600,19.6,1,running,
25800,8.7,1,running,
26000,10.9,1,running,
26200,21.3,1,running,
26400,19.9,1,running,
26600,9.6,1,running,
26800,12.8,1,running,
27000,22.4,1,running,
27200,14.0,1,running,
27400,10.5,1,running,
27600,22.0,1,running,
27800,15.4,1,running,
28000,10.3,1,running,
28200,22.7,1,running,
28400,12.5,1,running,
28600,12.9,1,running,
28800,21.9,1,running,
29000,10.2,1,running,
29200,17.1,1,running,
29400,17.6,1,running,
29600,23.2,1,running,
29800,25.7,1,running,
30000,31.7,1,running,
30200,35.6,1,running,
30400,40.1,1,running,
30600,45.4,1,running,
30800,51.5,0,running,
31000,53.9,0,end,24.8
