ts,distance_cm,pir,event
256552,37.6,1,none
256754,38.0,1,none
256956,37.8,1,none
257158,37.6,1,none
257360,37.5,1,none
257563,37.7,1,none
257765,37.9,1,none
257968,38.0,1,none
258170,38.0,1,none
258373,37.7,1,none
258575,37.7,1,none
258778,37.9,1,none
258981,37.9,1,none
259183,38.0,1,none
259386,37.9,1,none
259589,37.8,1,none
259788,26.1,1,none
259990,18.6,1,none
260194,37.9,1,none
260397,37.6,1,none
260597,36.8,1,none
260799,34.2,1,none
260997,8.6,1,none
261198,6.4,1,none
261399,4.5,1,none
261600,4.1,1,none
261801,4.2,1,none
262002,5.2,1,none
262203,7.7,1,none
262403,6.3,1,none
262604,15.3,1,none
262805,13.1,1,none
263006,16.7,1,none
263205,22.5,1,none
263406,14.7,1,running
263606,11.7,1,running
263808,14.3,1,running
264007,16.8,1,none
264210,27.2,1,none
264412,39.6,1,none
264612,20.9,1,none
264815,46.0,1,none
265017,39.2,1,none
265220,38.7,1,none
265422,49.4,1,none
265623,21.1,1,none
265825,39.8,1,none
266030,55.8,1,none
266230,33.3,1,none
266432,55.7,1,none
266635,55.6,1,none
266837,27.7,1,running
267038,42.3,1,none
267241,50.3,1,none
267445,37.0,1,none
267647,50.3,1,none
267852,55.3,1,none
268054,46.1,1,none
268255,38.1,1,running
268456,39.1,1,running
268658,43.2,1,none
268860,42.8,1,none
269060,40.1,1,none
269260,39.2,1,none
269464,52.5,1,none
269667,47.7,1,none
269870,43.5,1,none
270072,39.7,1,none
270274,39.5,1,none
270476,39.6,1,none
270676,39.9,1,none
270876,41.2,1,none
271078,40.1,1,none
271281,44.4,1,none
271482,39.4,1,none
271683,39.1,1,none
271884,39.3,1,none
272085,39.3,1,none
272289,48.3,1,none
272492,41.0,1,none
272695,40.4,1,none
272898,38.8,1,none
273100,39.7,1,none
273301,40.2,1,none
273502,39.8,1,none
273702,40.2,1,none
273904,40.6,1,none
274107,40.3,1,none
274311,49.0,1,none
274515,42.5,1,none
274720,55.1,1,none
274924,45.7,1,none
275124,40.4,1,none
275328,53.9,1,none
275532,52.5,1,none
275733,39.6,1,none
275936,43.5,1,none
276141,55.1,1,none
276343,55.1,1,none
276546,42.6,1,none
276746,42.8,1,none
276947,46.1,1,none
277150,38.8,1,none
277352,39.5,1,none
277554,39.4,1,none
277756,39.3,1,none
277958,39.5,1,none
278160,39.2,1,none
278362,39.2,1,none
278564,39.1,1,none
278766,39.7,1,none
278969,40.7,1,none
279173,43.0,1,none
279377,45.0,1,none
279581,43.3,1,none
279785,45.3,1,none
279985,43.9,1,none
280185,45.0,1,none
280388,55.0,1,none
280587,40.7,1,none
280789,39.2,1,none
280991,39.2,1,none
281193,39.2,1,none
281394,39.3,1,none
281595,47.2,1,none
281797,54.8,1,none
282000,44.9,1,none
282201,54.1,1,none
282403,39.2,1,none
282605,39.3,1,none
282806,39.5,1,none
283008,45.5,1,none
283212,52.9,1,none
283415,54.8,1,none
283617,41.4,1,none
283816,39.7,1,none
284020,54.0,1,none
284220,40.2,1,none
284423,39.3,1,none
284625,39.5,1,none
