ts,distance_cm,pir,event,dur_s
0,56.4,0,none,
200,57.1,0,none,
400,57.4,0,none,
600,55.1,0,none,
800,57.1,0,none,
1000,52.9,0,none,
1200,57.1,0,none,
1400,53.0,0,none,
1600,52.9,0,none,
1800,55.6,0,none,
2000,57.1,0,none,
2200,54.7,0,none,
2400,56.9,0,none,
2600,50.6,0,none,
2800,48.9,0,none,
3000,44.5,1,none,
3200,44.1,1,none,
3400,39.0,1,none,
3600,35.6,1,none,
3800,32.4,1,none,
4000,30.2,1,none,
4200,31.3,1,none,
4400,25.2,1,none,
4600,20.1,1,none,
4800,35.1,1,start,
5000,17.6,1,running,
5200,14.7,1,running,
5400,9.7,1,running,
5600,20.3,1,running,
5800,24.1,1,running,
6000,13.0,1,running,
6200,11.0,1,running,
6400,22.7,1,running,
6600,21.9,1,running,
6800,10.1,0,running,
7000,14.1,1,running,
7200,24.9,1,running,
7400,15.5,1,running,
7600,6.6,1,running,
7800,20.1,1,running,
8000,24.4,1,running,
8200,13.4,1,running,
8400,14.2,1,running,
8600,25.8,1,running,
8800,13.5,1,running,
9000,8.9,1,running,
9200,22.1,1,running,
9400,21.8,1,running,
9600,8.3,1,running,
9800,15.5,1,running,
10000,25.8,1,running,
10200,11.6,1,running,
10400,9.3,1,running,
10600,24.3,1,running,
10800,18.7,1,running,
11000,7.8,1,running,
11200,16.2,1,running,
11400,24.5,1,running,
11600,14.2,1,running,
11800,8.5,0,running,
12000,20.6,1,running,
12200,22.6,1,running,
12400,11.9,1,running,
12600,9.8,1,running,
12800,20.2,1,running,
13000,23.0,1,running,
13200,12.8,1,running,
13400,10.2,1,running,
13600,15.5,1,running,
13800,23.4,1,running,
14000,19.0,1,running,
14200,10.5,1,running,
14400,10.6,1,running,
14600,17.8,1,running,
14800,24.0,1,running,
15000,19.1,1,running,
15200,14.2,1,running,
15400,11.6,1,running,
15600,12.6,1,running,
15800,17.5,0,running,
16000,22.2,1,running,
16200,21.0,1,running,
16400,18.2,1,running,
16600,12.8,1,running,
16800,10.1,1,running,
17000,10.8,1,running,
17200,16.4,1,running,
17400,18.6,1,running,
17600,21.6,1,running,
17800,22.8,0,running,
18000,19.8,1,running,
18200,16.9,1,running,
18400,11.7,1,running,
18600,11.0,1,running,
18800,10.5,1,running,
19000,13.3,1,running,
19200,15.7,1,running,
19400,18.2,1,running,
19600,22.4,1,running,
19800,23.3,1,running,
20000,22.5,1,running,
20200,18.6,1,running,
20400,13.4,1,running,
20600,28.3,1,running,
20800,9.4,1,running,
21000,11.5,1,running,
21200,13.5,1,running,
21400,20.7,1,running,
21600,23.5,1,running,
21800,23.9,1,running,
22000,18.3,1,running,
22200,9.9,1,running,
22400,6.9,1,running,
22600,12.2,1,running,
22800,20.7,1,running,
23000,25.2,1,running,
23200,21.3,1,running,
23400,11.3,1,running,
23600,6.6,1,running,
23800,17.4,1,running,
24000,25.6,1,running,
24200,18.2,1,running,
24400,7.2,1,running,
24600,12.3,1,running,
24800,25.2,1,running,
25000,18.7,1,running,
25200,7.4,1,running,
25400,18.8,1,running,
25600,19.7,1,running,
25800,9.7,1,running,
26000,15.0,1,running,
26200,21.5,1,running,
26400,26.4,1,running,
26600,33.1,1,running,
26800,36.1,1,running,
27000,42.1,1,running,
27200,45.3,1,running,
27400,49.7,0,running,
27600,55.6,0,end,21.4
