ts,distance_cm,pir,event,dur_s
0,54.2,0,none,
200,53.0,0,none,
400,55.9,0,none,
600,57.0,0,none,
800,53.5,0,none,
1000,52.8,0,none,
1200,55.0,0,none,
1400,56.5,0,none,
1600,55.7,0,none,
1800,52.3,0,none,
2000,56.6,0,none,
2200,53.5,0,none,
2400,53.1,0,none,
2600,52.5,0,none,
2800,56.4,0,none,
3000,53.5,0,none,
3200,51.2,0,none,
3400,49.3,0,none,
3600,45.5,1,none,
3800,41.4,1,none,
4000,37.0,1,none,
4200,35.5,1,none,
4400,30.8,1,none,
4600,29.1,1,none,
4800,25.3,1,none,
5000,21.5,1,none,
5200,19.3,1,start,
5400,20.5,1,running,
5600,18.8,1,running,
5800,11.5,1,running,
6000,10.9,1,running,
6200,16.3,1,running,
6400,20.4,1,running,
6600,21.3,1,running,
6800,13.6,1,running,
7000,14.6,1,running,
7200,14.9,1,running,
7400,21.3,1,running,
7600,18.1,1,running,
7800,10.1,1,running,
8000,9.9,1,running,
8200,17.9,1,running,
8400,35.4,1,running,
8600,14.9,1,running,
8800,9.9,1,running,
9000,13.5,1,running,
9200,21.4,1,running,
9400,18.5,1,running,
9600,10.3,1,running,
9800,9.4,1,running,
10000,18.2,1,running,
10200,21.9,1,running,
10400,14.2,1,running,
10600,20.0,1,running,
10800,13.9,1,running,
11000,22.8,1,running,
11200,20.3,1,running,
11400,25.1,1,running,
11600,28.8,1,running,
11800,35.7,1,running,
12000,42.3,1,running,
12200,48.3,0,running,
12400,54.5,0,end,6.3
